fips,county_name,households,population
01001,"Autauga County, AL",22523,61464
01003,"Baldwin County, AL",94642,261608
01005,"Barbour County, AL",9080,24358
01007,"Bibb County, AL",7571,22258
01009,"Blount County, AL",21977,60163
01011,"Bullock County, AL",3453,9901
01013,"Butler County, AL",7262,18256
01015,"Calhoun County, AL",45125,116427
01017,"Chambers County, AL",13419,33813
01019,"Cherokee County, AL",10477,26138
01021,"Chilton County, AL",17554,47262
01023,"Choctaw County, AL",5174,12052
01025,"Clarke County, AL",8452,22142
01027,"Clay County, AL",5765,14239
01029,"Cleburne County, AL",5849,15905
01031,"Coffee County, AL",20860,56358
01033,"Colbert County, AL",24217,58785
01035,"Conecuh County, AL",4528,11109
01037,"Coosa County, AL",4201,10291
01039,"Covington County, AL",14495,37748
01041,"Crenshaw County, AL",5075,13114
01043,"Cullman County, AL",34543,92604
01045,"Dale County, AL",19769,50067
01047,"Dallas County, AL",15416,35545
01049,"DeKalb County, AL",25946,73122
01051,"Elmore County, AL",32529,91042
01053,"Escambia County, AL",12781,36630
01055,"Etowah County, AL",39160,103207
01057,"Fayette County, AL",6051,15863
01059,"Franklin County, AL",11593,31874
01061,"Geneva County, AL",10550,27259
01063,"Greene County, AL",3037,7127
01065,"Hale County, AL",5541,15116
01067,"Henry County, AL",6684,18141
01069,"Houston County, AL",42581,109366
01071,"Jackson County, AL",21186,53780
01073,"Jefferson County, AL",268911,664744
01075,"Lamar County, AL",4987,13543
01077,"Lauderdale County, AL",38777,97502
01079,"Lawrence County, AL",13145,33567
01081,"Lee County, AL",67944,187847
01083,"Limestone County, AL",40021,118942
01085,"Lowndes County, AL",4161,9485
01087,"Macon County, AL",7151,18159
01089,"Madison County, AL",162469,423355
01091,"Marengo County, AL",7615,18512
01093,"Marion County, AL",10874,29323
01095,"Marshall County, AL",35963,102156
01097,"Mobile County, AL",160507,412339
01099,"Monroe County, AL",7396,19057
01101,"Montgomery County, AL",90785,225894
01103,"Morgan County, AL",48752,126084
01105,"Perry County, AL",3195,7719
01107,"Pickens County, AL",6946,18508
01109,"Pike County, AL",12605,33124
01111,"Randolph County, AL",9127,23067
01113,"Russell County, AL",23784,58837
01115,"St. Clair County, AL",34477,96927
01117,"Shelby County, AL",85414,235969
01119,"Sumter County, AL",4765,11607
01121,"Talladega County, AL",32889,81375
01123,"Tallapoosa County, AL",16548,40699
01125,"Tuscaloosa County, AL",87289,241212
01127,"Walker County, AL",24843,65260
01129,"Washington County, AL",5678,15018
01131,"Wilcox County, AL",3693,9865
01133,"Winston County, AL",9328,23869
02013,"Aleutians East Borough, AK",998,3632
02016,"Aleutians West Census Area, AK",977,5424
02020,"Anchorage Municipality, AK",107868,289600
02050,"Bethel Census Area, AK",4661,18237
02060,"Bristol Bay Borough, AK",283,884
02063,"Chugach Census Area, AK",2679,6604
02066,"Copper River Census Area, AK",1146,2631
02068,"Denali Borough, AK",533,1621
02070,"Dillingham Census Area, AK",1383,4642
02090,"Fairbanks North Star Borough, AK",36176,94951
02100,"Haines Borough, AK",899,2104
02105,"Hoonah-Angoon Census Area, AK",922,2312
02110,"Juneau City and Borough, AK",13138,31572
02122,"Kenai Peninsula Borough, AK",23902,61259
02130,"Ketchikan Gateway Borough, AK",5621,13677
02270,"Kodiak Island Borough, AK",#N/A,#N/A
02158,"Kusilvak Census Area, AK",1891,7946
02164,"Lake and Peninsula Borough, AK",322,1315
02170,"Matanuska-Susitna Borough, AK",39682,117613
02180,"Nome Census Area, AK",2786,9836
02185,"North Slope Borough, AK",2205,10663
02188,"Northwest Arctic Borough, AK",1817,7134
02195,"Petersburg Borough, AK",1319,3436
02198,"Prince of Wales-Hyder Census Area, AK",2348,5746
02220,"Sitka City and Borough, AK",3503,8355
02230,"Skagway Municipality, AK",451,1119
02240,"Southeast Fairbanks Census Area, AK",2311,7313
02275,"Wrangell City and Borough, AK",912,2064
02282,"Yakutat City and Borough, AK",207,690
02290,"Yukon-Koyukuk Census Area, AK",2317,5099
04001,"Apache County, AZ",20439,64800
04003,"Cochise County, AZ",50476,125773
04005,"Coconino County, AZ",53642,145161
04007,"Gila County, AZ",23253,54073
04009,"Graham County, AZ",12460,40242
04011,"Greenlee County, AZ",3444,9410
04012,"La Paz County, AZ",8887,16992
04013,"Maricopa County, AZ",1697342,4673096
04015,"Mohave County, AZ",96899,226479
04017,"Navajo County, AZ",39171,109516
04019,"Pima County, AZ",430965,1080149
04021,"Pinal County, AZ",157193,513862
04023,"Santa Cruz County, AZ",16816,50508
04025,"Yavapai County, AZ",108900,252013
04027,"Yuma County, AZ",76903,220310
05001,"Arkansas County, AR",6587,16050
05003,"Ashley County, AR",7199,17984
05005,"Baxter County, AR",19289,43007
05007,"Benton County, AR",107667,321566
05009,"Boone County, AR",15232,38636
05011,"Bradley County, AR",3600,9935
05013,"Calhoun County, AR",1584,4690
05015,"Carroll County, AR",11106,28968
05017,"Chicot County, AR",3919,9272
05019,"Clark County, AR",8147,20920
05021,"Clay County, AR",6116,14112
05023,"Cleburne County, AR",10458,25646
05025,"Cleveland County, AR",2793,7367
05027,"Columbia County, AR",8361,22024
05029,"Conway County, AR",8303,21422
05031,"Craighead County, AR",43357,115852
05033,"Crawford County, AR",22994,62258
05035,"Crittenden County, AR",18338,46633
05037,"Cross County, AR",6524,16194
05039,"Dallas County, AR",2425,6076
05041,"Desha County, AR",4750,10321
05043,"Drew County, AR",7004,16935
05045,"Faulkner County, AR",48866,131611
05047,"Franklin County, AR",6878,17586
05049,"Fulton County, AR",4808,12546
05051,"Garland County, AR",43762,99902
05053,"Grant County, AR",6955,18546
05055,"Greene County, AR",17926,46928
05057,"Hempstead County, AR",7454,19105
05059,"Hot Spring County, AR",12101,33313
05061,"Howard County, AR",5169,12387
05063,"Independence County, AR",14515,38345
05065,"Izard County, AR",5027,14291
